NOC,Weight,Medal,Gold,Silver,Bronze,NoMedal
ISV,0.0,3.329874357861744,3.3280937369845924,0.0006742428075876071,0.001106378069564275,5.948929944788735
KUW,0.0,5.013925375222056,3.3156721861470806,0.6430537869622261,1.055199402112749,3.9314626492178277
CMR,0.0,3.6948240038416245,3.2602746946063683,0.0013318392451525587,0.4332174699901039,12.608968825477907
ALB,0.0,3.142840199974131,3.1407173032597386,0.0008038476125360591,0.0013190491018562898,7.424360281129522
ANG,0.0,2.9930149494948193,2.991536921177514,0.000559664314364386,0.0009183640029412218,5.860302041781901
BER,0.0,2.9195161947729424,2.918588557724471,0.0003512553491926467,0.0005763816992788472,3.0991705681752495
BAR,0.0,2.910348238632691,2.907843830407072,0.0009483092414863274,0.0015560989841323291,8.367052907516396
PHI,0.0,4.485332609367037,2.842841110780256,0.6219392873890616,1.0205522111977194,10.543679938829086
ZIM,0.0,4.598297143264094,2.807519848169929,0.6780885963438251,1.1126886987503395,6.659870918934289
CGO,0.0,2.716640265518458,2.7153139702739324,0.0005022096735095322,0.00082408557101558,4.431059748331446
CIV,0.0,3.080786978852426,2.6477253159419027,0.0007685330144124472,0.4322931298961107,7.424540949275909
ESA,0.0,3.053630065724665,2.620200803028212,0.0009077268848843919,0.43252153581156855,8.740410024288769
SYR,0.0,3.868752012822864,2.5452612411715774,0.5011477429837731,0.8223430286675133,5.509380393311803
JOR,0.0,2.539709326192911,2.538030322407548,0.0006357648844398477,0.0010432389009235636,5.816758274346825
GRN,0.0,2.812440041365795,2.525491668834382,0.0005922548178862615,0.2863561177135271,5.54896965051313
MKD,0.0,2.4985339655836585,2.4968831516147336,0.0006250906408517301,0.0010257233280732802,5.515254133559093
NAM,0.0,4.6880967757995915,2.445822484724137,0.7309986340350002,1.5112756570404544,5.488921030583512
GUM,0.0,2.4057761017439674,2.4045266229011677,0.00047312268085837394,0.0007763561619411831,4.17442151706067
CAY,0.0,2.3848947773184523,2.3837596894263293,0.0004298078591935234,0.0007052800329298233,3.792249342948554
PNG,0.0,2.340724182366567,2.339352063405086,0.0005195610996165343,0.0008525578618645376,4.916064262878283
RWA,0.0,2.3316155388260196,2.3304999242962627,0.00042243415337913254,0.0006931803763778317,4.059100877558836
MRI,0.0,2.7430820901853914,2.193073846710226,0.0009775198678252544,0.54903072360734,9.271330018322821
SRI,0.0,2.9939078140126156,2.1297796097289607,0.0007816012557728093,0.8633466030278821,6.896167171567776
SEY,0.0,2.0500771251308794,2.0482426321188343,0.000694641815566905,0.0011398511964781715,6.128912983608563
SUD,0.0,6.022490047890415,2.0028764718753282,1.9977197812520464,2.0218937947630398,0.0
FIJ,0.0,2.000001914836611,1.9983274940165916,0.0006340295170406242,0.0010403913029788305,6.526810402097514
BDI,0.0,1.9323720286887034,1.9312668555855406,0.0004184804443822341,0.0006866926587805787,4.024216800813867
HAI,0.0,1.8710157675751509,1.869728836305349,0.0004873042676615761,0.0007996270021401663,4.299547459004409
TOG,0.0,1.8681519610689281,1.8673114414933425,0.0003182677939740075,0.0005222517816116115,3.1315473321840286
MAD,0.0,1.8426832462623535,1.8409156480917899,0.0006693116813916007,0.0010982864891719896,6.5175762208721295
MLI,0.0,2.3979209243816575,1.800870578699038,0.22607670532769106,0.3709736403549285,3.7020660920823074
PAN,0.0,3.207782280431071,1.7962028377421397,0.42644057546440495,0.9851388672245264,3.988802867048501
BIH,0.0,2.109253307818989,1.7621997195661505,0.1314139291128774,0.2156396591399608,4.334635536198179
MLT,0.0,1.7549768320300225,1.7536483335020105,0.0005030439600571233,0.0008254545679549613,4.438420764525682
SKN,0.0,1.7250665907315363,1.72416904529443,0.00033986097951408555,0.0005576844575923199,2.9986365970005138
MNE,0.0,1.7428243497386466,1.7111033965149145,0.00045886501178577573,0.03126208821194626,5.657749752597702
LIB,0.0,3.655803962519173,1.6833472300726366,0.3123943935367094,1.6600623389098268,5.358607950799868
MOZ,0.0,2.2697188965917534,1.6729398651713172,0.2259739705500524,0.370805060870384,2.6710373537608003
IRQ,0.0,1.6709861043400862,1.6692719827122569,0.000649062466763265,0.0010650591610661872,6.869668915734579
TKM,0.0,2.0712562915653963,1.6380302703216838,0.0008307682860763438,0.4323952529576361,8.407866463797205
