NOC,Weight,TotalScore,Gold,Silver,Bronze,NoMedal
ARG,0.0,1.476221690369487,0.8493231378122158,0.3229449373922968,0.30395361516497416,68.28990632047436
POR,0.0,3.0661298475958745,0.8272799240551374,0.567878067740889,1.6709718557998483,44.09470362147937
HKG,0.0,4.597832470179173,0.8149866188716299,0.028885639754600734,3.7539602115529425,18.337815380017233
GUA,0.0,1.2438316377489553,0.8046403531620745,0.001969475437813686,0.4372218091490671,8.187504439938522
BEL,0.0,1.3640725819655728,0.7974212058993969,0.12546888103498555,0.4411824950311902,122.1539622798526
IRL,0.0,8.78121266688608,0.7661236806202856,0.4046893436528261,7.610399642612968,73.60722440428216
DEN,0.0,1.819655449062442,0.7508980812379572,0.2554056527939384,0.8133517150305462,71.89269922378699
EGY,0.0,2.088754690519216,0.7394957283459372,0.013556555930284205,1.3357024062429943,94.10768396860087
LTU,0.0,2.8305808668625714,0.7380178415697899,0.003742003331846003,2.0888210219609356,25.334117784931117
ZIM,0.0,0.8294756983192402,0.7166059988235843,0.027244410223089325,0.08562528927256649,3.583926781111881
KOS,0.0,0.62919063147044,0.6267428548548715,0.0005908426313441059,0.0018569339842243336,3.948534367003561
GRE,0.0,6.709357029534093,0.6158900704290072,1.5139152365464148,4.579551722558671,47.887112579819345
DMA,0.0,0.546534523963675,0.4377444521606332,0.026259672504182485,0.08253039929885926,1.0229580390192894
ISR,0.0,1.1833581354110319,0.4318006548527463,0.7298932507423349,0.021664229815950557,58.54490118839796
ROU,0.0,4.556221095733625,0.42499122161924835,0.34457817607237523,3.7866516980420015,63.78958930040332
CYP,0.0,0.4276596732297282,0.4211322689215457,0.0015755803502509487,0.004951823957931555,10.225991455605094
DOM,0.0,1.2484596105466106,0.41522415702104626,0.49296846266909206,0.3402669908564722,27.848501924026586
TPE,0.0,2.88084297045544,0.3903164036136838,2.072430594661307,0.418095972180449,36.915600064763325
MAR,0.0,0.40352247181500395,0.3831243333519336,0.004923688594534216,0.015474449868536114,28.053064450047287
UGA,0.0,0.7653270093029636,0.37909084765529116,0.0033481082442832666,0.3828880534033892,15.169679286240886
KGZ,0.0,2.5974997814419676,0.3772543233954388,1.3218795093432962,0.8983659487032324,4.790089314156192
QAT,0.0,1.2583805179237528,0.33702587038778964,0.01431152151477945,0.9070431260211838,5.911738392025664
VEN,0.0,1.9056961273432484,0.3305929275059314,0.01765962975906272,1.5574435700782543,18.796832974469638
ALG,0.0,1.1805224850030172,0.32185343125109084,0.00709011157612927,0.851578942175797,30.03190163121687
TJK,0.0,1.3037268119264918,0.3166486345559577,0.9821263534126026,0.004951823957931555,5.881811523861459
MKD,0.0,0.6309815587461245,0.31513607741971683,0.31275059135270045,0.003094889973707222,3.365864910089247
GAB,0.0,0.6032798691844586,0.3146318917076365,0.2861720654978563,0.0024759119789657777,2.6602636110317857
RSA,0.0,1.1281149940101614,0.1290715422925578,0.4587061041540318,0.5403373475635719,79.84149946090983
